,acuracia,percentualRuidoTreinamento
700,0.9921875,0.035
701,0.9921875,0.035
702,0.99609375,0.035
703,0.98828125,0.035
704,0.984375,0.035
705,0.99609375,0.035
706,1.0,0.035
707,0.99609375,0.035
708,1.0,0.035
709,1.0,0.035
710,0.99609375,0.035
711,0.98828125,0.035
712,0.99609375,0.035
713,0.98828125,0.035
714,0.9921875,0.035
715,0.99609375,0.035
716,1.0,0.035
717,1.0,0.035
718,1.0,0.035
719,0.9921875,0.035
720,0.9921875,0.035
721,0.99609375,0.035
722,0.984375,0.035
723,1.0,0.035
724,1.0,0.035
725,0.98046875,0.035
726,0.98828125,0.035
727,0.9921875,0.035
728,0.99609375,0.035
729,0.98828125,0.035
730,0.9921875,0.035
731,0.984375,0.035
732,0.99609375,0.035
733,0.98828125,0.035
734,0.98828125,0.035
735,0.98046875,0.035
736,0.99609375,0.035
737,0.99609375,0.035
738,0.99609375,0.035
739,0.98828125,0.035
740,1.0,0.035
741,0.98828125,0.035
742,0.984375,0.035
743,0.99609375,0.035
744,0.9921875,0.035
745,1.0,0.035
746,1.0,0.035
747,0.9921875,0.035
748,0.98828125,0.035
749,0.98828125,0.035
750,0.99609375,0.035
751,1.0,0.035
752,0.98828125,0.035
753,0.99609375,0.035
754,0.98828125,0.035
755,0.984375,0.035
756,0.9921875,0.035
757,0.99609375,0.035
758,0.9921875,0.035
759,1.0,0.035
760,0.99609375,0.035
761,1.0,0.035
762,0.984375,0.035
763,0.9921875,0.035
764,1.0,0.035
765,1.0,0.035
766,0.99609375,0.035
767,1.0,0.035
768,0.99609375,0.035
769,0.98828125,0.035
770,0.9921875,0.035
771,0.9921875,0.035
772,0.9921875,0.035
773,0.99609375,0.035
774,1.0,0.035
775,0.99609375,0.035
776,1.0,0.035
777,0.99609375,0.035
778,0.99609375,0.035
779,0.9921875,0.035
780,0.98828125,0.035
781,1.0,0.035
782,0.99609375,0.035
783,1.0,0.035
784,0.98828125,0.035
785,0.984375,0.035
786,1.0,0.035
787,0.9921875,0.035
788,0.98828125,0.035
789,0.9921875,0.035
790,0.984375,0.035
791,1.0,0.035
792,0.98828125,0.035
793,0.98828125,0.035
794,1.0,0.035
795,0.99609375,0.035
796,1.0,0.035
797,1.0,0.035
798,0.9921875,0.035
799,1.0,0.035
800,0.99609375,0.040
801,0.9921875,0.040
802,0.9921875,0.040
803,0.9921875,0.040
804,0.99609375,0.040
805,0.98828125,0.040
806,0.99609375,0.040
807,0.98828125,0.040
808,0.9921875,0.040
809,0.9921875,0.040
810,0.9921875,0.040
811,0.9921875,0.040
812,0.98046875,0.040
813,0.99609375,0.040
814,0.9921875,0.040
815,0.98828125,0.040
816,0.9921875,0.040
817,0.9921875,0.040
818,1.0,0.040
819,0.984375,0.040
820,0.99609375,0.040
821,0.99609375,0.040
822,0.99609375,0.040
823,0.98828125,0.040
824,0.99609375,0.040
825,0.99609375,0.040
826,1.0,0.040
827,0.98828125,0.040
828,1.0,0.040
829,0.99609375,0.040
830,0.99609375,0.040
831,1.0,0.040
832,1.0,0.040
833,0.9921875,0.040
834,0.984375,0.040
835,0.99609375,0.040
836,0.9921875,0.040
837,0.99609375,0.040
838,0.9921875,0.040
839,0.984375,0.040
840,0.984375,0.040
841,0.99609375,0.040
842,1.0,0.040
843,1.0,0.040
844,0.9921875,0.040
845,0.99609375,0.040
846,1.0,0.040
847,0.9921875,0.040
848,0.9921875,0.040
849,0.98828125,0.040
850,0.99609375,0.040
851,0.99609375,0.040
852,0.98828125,0.040
853,1.0,0.040
854,0.984375,0.040
855,0.98828125,0.040
856,0.98828125,0.040
857,0.9921875,0.040
858,0.98828125,0.040
859,0.99609375,0.040
860,1.0,0.040
861,0.99609375,0.040
862,0.99609375,0.040
863,1.0,0.040
864,0.98828125,0.040
865,1.0,0.040
866,0.99609375,0.040
867,1.0,0.040
868,0.99609375,0.040
869,0.984375,0.040
870,0.99609375,0.040
871,0.99609375,0.040
872,0.99609375,0.040
873,0.9921875,0.040
874,0.9921875,0.040
875,0.9921875,0.040
876,0.9921875,0.040
877,0.99609375,0.040
878,0.99609375,0.040
879,0.99609375,0.040
880,0.99609375,0.040
881,0.99609375,0.040
882,0.98046875,0.040
883,0.98828125,0.040
884,0.9921875,0.040
885,0.98828125,0.040
886,1.0,0.040
887,0.984375,0.040
888,1.0,0.040
889,0.99609375,0.040
890,0.9921875,0.040
891,0.99609375,0.040
892,1.0,0.040
893,0.99609375,0.040
894,0.984375,0.040
895,0.98828125,0.040
896,0.9921875,0.040
897,0.99609375,0.040
898,0.98828125,0.040
899,0.9921875,0.040
