,value,group
246,0.99609375,"XGB
Teste"
247,0.98046875,"XGB
Teste"
248,0.9921875,"XGB
Teste"
249,0.9921875,"XGB
Teste"
250,0.9921875,"XGB
Teste"
251,0.99609375,"XGB
Teste"
252,0.9765625,"XGB
Teste"
253,0.984375,"XGB
Teste"
254,0.99609375,"XGB
Teste"
255,0.99609375,"XGB
Teste"
256,0.9921875,"XGB
Teste"
257,0.9921875,"XGB
Teste"
258,0.9921875,"XGB
Teste"
259,1.0,"XGB
Teste"
260,0.9921875,"XGB
Teste"
261,0.99609375,"XGB
Teste"
262,0.984375,"XGB
Teste"
263,0.9921875,"XGB
Teste"
264,0.9921875,"XGB
Teste"
265,0.98046875,"XGB
Teste"
266,0.99609375,"XGB
Teste"
267,0.98828125,"XGB
Teste"
268,1.0,"XGB
Teste"
269,0.98828125,"XGB
Teste"
270,0.99609375,"XGB
Teste"
271,0.9765625,"XGB
Teste"
272,0.99609375,"XGB
Teste"
273,0.98828125,"XGB
Teste"
274,0.98828125,"XGB
Teste"
275,0.99609375,"XGB
Teste"
276,0.99609375,"XGB
Teste"
277,0.99609375,"XGB
Teste"
278,0.99609375,"XGB
Teste"
279,0.984375,"XGB
Teste"
280,0.9921875,"XGB
Teste"
281,0.984375,"XGB
Teste"
282,0.98046875,"XGB
Teste"
283,0.9921875,"XGB
Teste"
284,0.9921875,"XGB
Teste"
285,0.984375,"XGB
Teste"
286,0.99609375,"XGB
Teste"
287,0.9765625,"XGB
Teste"
288,0.9921875,"XGB
Teste"
289,0.984375,"XGB
Teste"
290,1.0,"XGB
Teste"
291,0.984375,"XGB
Teste"
292,0.9921875,"XGB
Teste"
293,0.9921875,"XGB
Teste"
294,0.97265625,"XGB
Teste"
295,0.98828125,"XGB
Teste"
296,0.9921875,"XGB
Teste"
297,0.99609375,"XGB
Teste"
298,0.98828125,"XGB
Teste"
299,0.984375,"XGB
Teste"
300,0.9921875,"XGB
Teste"
301,1.0,"XGB
Teste"
302,0.9921875,"XGB
Teste"
303,0.98828125,"XGB
Teste"
304,0.98828125,"XGB
Teste"
305,0.98828125,"XGB
Teste"
306,0.98828125,"XGB
Teste"
307,0.98046875,"XGB
Teste"
308,0.98828125,"XGB
Teste"
309,0.98046875,"XGB
Teste"
310,0.9921875,"XGB
Teste"
311,0.984375,"XGB
Teste"
312,0.98046875,"XGB
Teste"
313,0.98828125,"XGB
Teste"
314,0.99609375,"XGB
Teste"
315,0.98828125,"XGB
Teste"
316,0.98828125,"XGB
Teste"
