,value,group
252,0.9840255591054313,"RF
Teste"
253,0.987220447284345,"RF
Teste"
254,0.9840255591054313,"RF
Teste"
255,0.987220447284345,"RF
Teste"
256,0.9840255591054313,"RF
Teste"
257,0.9936102236421726,"RF
Teste"
258,0.9904153354632588,"RF
Teste"
259,0.9776357827476039,"RF
Teste"
260,0.9744408945686901,"RF
Teste"
261,0.9840255591054313,"RF
Teste"
262,0.987220447284345,"RF
Teste"
263,0.987220447284345,"RF
Teste"
264,0.987220447284345,"RF
Teste"
265,0.9968051118210862,"RF
Teste"
266,0.9904153354632588,"RF
Teste"
267,0.987220447284345,"RF
Teste"
268,0.9904153354632588,"RF
Teste"
269,0.9840255591054313,"RF
Teste"
270,0.9904153354632588,"RF
Teste"
271,1.0,"RF
Teste"
272,0.9840255591054313,"RF
Teste"
273,0.987220447284345,"RF
Teste"
274,0.987220447284345,"RF
Teste"
275,0.9840255591054313,"RF
Teste"
276,0.9936102236421726,"RF
Teste"
277,0.9936102236421726,"RF
Teste"
278,0.9808306709265175,"RF
Teste"
279,0.987220447284345,"RF
Teste"
280,0.9904153354632588,"RF
Teste"
281,1.0,"RF
Teste"
282,1.0,"RF
Teste"
283,0.9936102236421726,"RF
Teste"
284,0.9904153354632588,"RF
Teste"
285,0.9904153354632588,"RF
Teste"
286,0.9936102236421726,"RF
Teste"
287,0.9808306709265175,"RF
Teste"
288,0.987220447284345,"RF
Teste"
289,0.987220447284345,"RF
Teste"
290,0.9776357827476039,"RF
Teste"
291,0.9936102236421726,"RF
Teste"
292,0.9904153354632588,"RF
Teste"
293,0.9680511182108626,"RF
Teste"
294,0.9744408945686901,"RF
Teste"
295,0.987220447284345,"RF
Teste"
296,0.9680511182108626,"RF
Teste"
297,0.9776357827476039,"RF
Teste"
298,0.9936102236421726,"RF
Teste"
299,0.9808306709265175,"RF
Teste"
300,0.9840255591054313,"RF
Teste"
301,0.9904153354632588,"RF
Teste"
302,0.9904153354632588,"RF
Teste"
303,0.9808306709265175,"RF
Teste"
304,0.9840255591054313,"RF
Teste"
305,0.987220447284345,"RF
Teste"
306,0.987220447284345,"RF
Teste"
307,0.987220447284345,"RF
Teste"
308,0.9904153354632588,"RF
Teste"
309,0.9808306709265175,"RF
Teste"
310,0.9904153354632588,"RF
Teste"
311,0.9776357827476039,"RF
Teste"
312,0.9776357827476039,"RF
Teste"
313,0.9936102236421726,"RF
Teste"
314,0.987220447284345,"RF
Teste"
315,0.9904153354632588,"RF
Teste"
316,0.9808306709265175,"RF
Teste"
317,0.9904153354632588,"RF
Teste"
318,0.9840255591054313,"RF
Teste"
319,0.9904153354632588,"RF
Teste"
320,0.987220447284345,"RF
Teste"
321,0.9808306709265175,"RF
Teste"
322,0.9840255591054313,"RF
Teste"
323,0.987220447284345,"RF
Teste"
324,0.9712460063897763,"RF
Teste"
325,0.9904153354632588,"RF
Teste"
326,0.9808306709265175,"RF
Teste"
327,0.987220447284345,"RF
Teste"
328,0.9744408945686901,"RF
Teste"
329,0.9904153354632588,"RF
Teste"
330,0.987220447284345,"RF
Teste"
331,0.9936102236421726,"RF
Teste"
332,0.9840255591054313,"RF
Teste"
333,0.9840255591054313,"RF
Teste"
334,0.9936102236421726,"RF
Teste"
335,0.9936102236421726,"RF
Teste"
336,0.9904153354632588,"RF
Teste"
337,0.9840255591054313,"RF
Teste"
338,0.9840255591054313,"RF
Teste"
339,0.9808306709265175,"RF
Teste"
340,0.9712460063897763,"RF
Teste"
341,0.987220447284345,"RF
Teste"
342,0.9776357827476039,"RF
Teste"
343,0.987220447284345,"RF
Teste"
344,0.9968051118210862,"RF
Teste"
345,0.9840255591054313,"RF
Teste"
