,Noise Level,Classifier,IndexRep,Accuracy
321,0.3577,SVM (RBF),0,0.88671875
322,0.3577,XGBoost,0,0.87109375
323,0.3577,MLP,0,0.69921875
324,0.3577,Random Forest,1,0.90234375
325,0.3577,SVM (RBF),1,0.8359375
326,0.3577,XGBoost,1,0.89453125
327,0.3577,MLP,1,0.69921875
328,0.3577,Random Forest,2,0.921875
329,0.3577,SVM (RBF),2,0.8515625
330,0.3577,XGBoost,2,0.8984375
331,0.3577,MLP,2,0.69921875
332,0.3577,Random Forest,3,0.9296875
333,0.3577,SVM (RBF),3,0.84765625
334,0.3577,XGBoost,3,0.87109375
335,0.3577,MLP,3,0.73046875
336,0.3577,Random Forest,4,0.953125
337,0.3577,SVM (RBF),4,0.875
338,0.3577,XGBoost,4,0.87109375
339,0.3577,MLP,4,0.69921875
340,0.3577,Random Forest,5,0.921875
341,0.3577,SVM (RBF),5,0.85546875
342,0.3577,XGBoost,5,0.87109375
343,0.3577,MLP,5,0.69921875
344,0.3577,Random Forest,6,0.92578125
345,0.3577,SVM (RBF),6,0.90234375
346,0.3577,XGBoost,6,0.84375
347,0.3577,MLP,6,0.703125
348,0.3577,Random Forest,7,0.94140625
349,0.3577,SVM (RBF),7,0.85546875
350,0.3577,XGBoost,7,0.89453125
351,0.3577,MLP,7,0.69921875
352,0.3577,Random Forest,8,0.9609375
353,0.3577,SVM (RBF),8,0.88671875
354,0.3577,XGBoost,8,0.8828125
355,0.3577,MLP,8,0.69921875
356,0.3577,Random Forest,9,0.9140625
357,0.3577,SVM (RBF),9,0.84765625
358,0.3577,XGBoost,9,0.83984375
359,0.3577,MLP,9,0.69921875
360,0.403,Random Forest,0,0.9375
361,0.403,SVM (RBF),0,0.83203125
362,0.403,XGBoost,0,0.875
363,0.403,MLP,0,0.734375
364,0.403,Random Forest,1,0.94921875
365,0.403,SVM (RBF),1,0.8828125
366,0.403,XGBoost,1,0.859375
367,0.403,MLP,1,0.734375
368,0.403,Random Forest,2,0.92578125
369,0.403,SVM (RBF),2,0.86328125
370,0.403,XGBoost,2,0.8359375
371,0.403,MLP,2,0.734375
372,0.403,Random Forest,3,0.9375
373,0.403,SVM (RBF),3,0.89453125
374,0.403,XGBoost,3,0.84375
375,0.403,MLP,3,0.734375
376,0.403,Random Forest,4,0.9609375
377,0.403,SVM (RBF),4,0.87890625
378,0.403,XGBoost,4,0.91015625
379,0.403,MLP,4,0.734375
380,0.403,Random Forest,5,0.93359375
381,0.403,SVM (RBF),5,0.83984375
382,0.403,XGBoost,5,0.859375
383,0.403,MLP,5,0.734375
384,0.403,Random Forest,6,0.921875
385,0.403,SVM (RBF),6,0.875
386,0.403,XGBoost,6,0.86328125
387,0.403,MLP,6,0.7421875
388,0.403,Random Forest,7,0.93359375
389,0.403,SVM (RBF),7,0.8203125
390,0.403,XGBoost,7,0.87890625
391,0.403,MLP,7,0.734375
392,0.403,Random Forest,8,0.9140625
393,0.403,SVM (RBF),8,0.84375
394,0.403,XGBoost,8,0.84375
395,0.403,MLP,8,0.734375
396,0.403,Random Forest,9,0.9375
397,0.403,SVM (RBF),9,0.8671875
398,0.403,XGBoost,9,0.85546875
399,0.403,MLP,9,0.734375
400,0.5592,Random Forest,0,0.99609375
401,0.5592,SVM (RBF),0,0.97265625
402,0.5592,XGBoost,0,0.984375
403,0.5592,MLP,0,0.90625
404,0.5592,Random Forest,1,0.9765625
405,0.5592,SVM (RBF),1,0.96484375
406,0.5592,XGBoost,1,0.96875
407,0.5592,MLP,1,0.84765625
408,0.5592,Random Forest,2,0.98828125
409,0.5592,SVM (RBF),2,0.984375
410,0.5592,XGBoost,2,0.96484375
411,0.5592,MLP,2,0.83203125
412,0.5592,Random Forest,3,0.98828125
413,0.5592,SVM (RBF),3,0.9765625
414,0.5592,XGBoost,3,0.984375
415,0.5592,MLP,3,0.84375
416,0.5592,Random Forest,4,0.96484375
417,0.5592,SVM (RBF),4,0.9375
418,0.5592,XGBoost,4,0.953125
419,0.5592,MLP,4,0.87109375
420,0.5592,Random Forest,5,0.984375
421,0.5592,SVM (RBF),5,0.95703125
422,0.5592,XGBoost,5,0.97265625
423,0.5592,MLP,5,0.87890625
424,0.5592,Random Forest,6,0.99609375
425,0.5592,SVM (RBF),6,0.9765625
426,0.5592,XGBoost,6,0.984375
427,0.5592,MLP,6,0.85546875
428,0.5592,Random Forest,7,0.98828125
429,0.5592,SVM (RBF),7,0.95703125
430,0.5592,XGBoost,7,0.984375
431,0.5592,MLP,7,0.8671875
432,0.5592,Random Forest,8,0.97265625
433,0.5592,SVM (RBF),8,0.96875
434,0.5592,XGBoost,8,0.96875
435,0.5592,MLP,8,0.890625
436,0.5592,Random Forest,9,0.9765625
437,0.5592,SVM (RBF),9,0.95703125
438,0.5592,XGBoost,9,0.96875
439,0.5592,MLP,9,0.83984375
440,0.3325,Random Forest,0,0.984375
441,0.3325,SVM (RBF),0,0.953125
442,0.3325,XGBoost,0,0.97265625
443,0.3325,MLP,0,0.87890625
444,0.3325,Random Forest,1,0.98046875
445,0.3325,SVM (RBF),1,0.953125
446,0.3325,XGBoost,1,0.9765625
447,0.3325,MLP,1,0.91015625
448,0.3325,Random Forest,2,0.9765625
449,0.3325,SVM (RBF),2,0.9609375
450,0.3325,XGBoost,2,0.97265625
451,0.3325,MLP,2,0.890625
452,0.3325,Random Forest,3,0.98828125
453,0.3325,SVM (RBF),3,0.96484375
454,0.3325,XGBoost,3,0.97265625
455,0.3325,MLP,3,0.9140625
456,0.3325,Random Forest,4,0.99609375
457,0.3325,SVM (RBF),4,0.9765625
458,0.3325,XGBoost,4,0.98046875
459,0.3325,MLP,4,0.80078125
460,0.3325,Random Forest,5,0.9921875
461,0.3325,SVM (RBF),5,0.953125
462,0.3325,XGBoost,5,0.984375
463,0.3325,MLP,5,0.89453125
464,0.3325,Random Forest,6,0.99609375
465,0.3325,SVM (RBF),6,0.96484375
466,0.3325,XGBoost,6,0.98046875
467,0.3325,MLP,6,0.90234375
468,0.3325,Random Forest,7,0.984375
469,0.3325,SVM (RBF),7,0.9453125
470,0.3325,XGBoost,7,0.98828125
471,0.3325,MLP,7,0.9140625
472,0.3325,Random Forest,8,0.98046875
473,0.3325,SVM (RBF),8,0.9453125
474,0.3325,XGBoost,8,0.97265625
475,0.3325,MLP,8,0.85546875
476,0.3325,Random Forest,9,0.98046875
477,0.3325,SVM (RBF),9,0.96875
478,0.3325,XGBoost,9,0.9609375
479,0.3325,MLP,9,0.87890625
